customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
36325376_c0001,"Apr 03, 2025",130.99,7,79.38,SMB,
36325376_c0002,2025-07-29,75.74,3,117.3,Consumer,
36325376_c0003,2025-04-21,120.34,5,104.73,Enterprise,
36325376_c0004,2024-11-08,281.35,6,203.72,Consumer,returned
36325376_c0005,2025-12-22,246.27,9,232.34,Consumer,
36325376_c0006,2025-12-23,0.11,1,66.44,SMB,returned
36325376_c0007,2026-01-08,277.65,11,,SMB,
36325376_c0008,2026-01-07,205.49,7,187.42,Consumer,contacted
36325376_c0009,2024-11-01,119.64,4,,SMB,N/A
36325376_c0010,2025-07-12,4.05,3,,Consumer,
36325376_c0011,26/10/2024,194.5,5,199.09,Consumer,
36325376_c0012,2025-01-09,109.93,1,47.94,Consumer,
36325376_c0013,"Mar 01, 2025",84.25,3,171.57,Consumer,N/A
36325376_c0014,13/07/2025,288.69,10,188.31,Consumer,
36325376_c0015,2025-07-31,264.7,9,214.5,Consumer,
36325376_c0016,2024-09-15,252.7,4,155.03,Consumer,
36325376_c0017,2024-12-19,4.53,4,53.42,Enterprise,
36325376_c0018,18/01/2025,173.96,5,143.92,Consumer,no response
36325376_c0019,2026-01-17,211.27,2,239.45,Consumer,returned
36325376_c0020,2025-09-04,212.64,9,167.59,Consumer,
36325376_c0021,2025-07-12,118.03,7,141.99,Consumer,
36325376_c0022,2025-04-11,128.31,8,206.53,SMB,
36325376_c0023,2024-11-08,144.08,4,97.22,SMB,
36325376_c0024,2025-03-16,103.22,4,19.95,Consumer,
36325376_c0025,2025-05-27,228.39,8,248.34,Consumer,contacted
36325376_c0026,"Jul 12, 2025",184.64,10,161.16,SMB,
36325376_c0027,2025-09-21,78.19,5,74.42,Consumer,
36325376_c0028,2024-12-13,93.67,3,41.21,Consumer,returned
36325376_c0029,2024-10-24,53.56,2,123.52,Consumer,
36325376_c0030,09/11/2024,77.85,5,89.11,SMB,
36325376_c0031,2025-02-23,192.27,7,127.6,Consumer,returned
36325376_c0032,2025-12-14,102.84,2,106.28,Consumer,contacted
36325376_c0033,2025-04-09,154.61,8,148.83,Enterprise,
36325376_c0034,2024-10-24,153.54,7,67.18,SMB,no response
36325376_c0035,2024-11-13,124.38,5,135.62,Consumer,no response
36325376_c0036,2025-07-14,128.79,4,190.16,SMB,
36325376_c0037,"Jan 18, 2025",80.64,6,83.66,SMB,N/A
36325376_c0038,2025-09-10,177.68,6,89.83,Consumer,N/A
36325376_c0039,2025-06-09,104.72,7,96.87,Consumer,
